id,Znamka,Model,Letnik,Tip motorja,Prevoženi kilometri,ccm,kW,Menjalnik,Cena
13605408,Volvo,S40 D2 Business,2011,diesel motor,163025,1560,84,ročni menjalnik (6 pr.),7250
13605412,Volkswagen,Passat 1.8 Turbo - SLOVENSKO ...,1997,bencinski motor,,1781,110,ročni menjalnik (5 pr.),490
13605431,Opel,Vectra CD 1.8i 16V,2000,bencinski motor,257890,1799,85,ročni menjalnik (5 pr.),490
13605449,Renault,Thalia 1.4 Avantura 16V,2001,bencinski motor,180000,1390,55,ročni menjalnik (5 pr.),800
13605475,Volkswagen,Passat 1.9 TDI Comfortline -B...,2006,diesel motor,290500,1896,77,ročni menjalnik (5 pr.),4990
13605482,BMW,serija 3: 320d-TEMPOMAT-POTOVALNI RA...,2002,diesel motor,293000,1995,110,ročni menjalnik (5 pr.),2450
13605531,Ford,Mondeo 2.0 TDCi Ambiente,2004,diesel motor,300000,1998,96,ročni menjalnik (6 pr.),900
13605540,Volkswagen,Passat 2.3 VR5 Highline,2000,bencinski motor,250000,2327,110,ročni menjalnik (5 pr.),700
13605555,Mercedes-Benz,E-Razred E 220 d Avantgard...,2017,diesel motor,10300,1950,143,avtomatski menjalnik,38750
13605669,BMW,serija 3: 318d Top Paket,2004,diesel motor,226000,1995,85,ročni menjalnik (5 pr.),4000
13605741,Audi,A6 2.0 TDI-S LINE PAKET-FULL LED-PO...,2011,diesel motor,189000,1968,130,ročni menjalnik (6 pr.),17850
13605802,Hyundai,Elantra 1.6 MPI Life,2012,bencinski motor,56000,1591,97,ročni menjalnik (6 pr.),7650
13605843,Opel,Insignia 2.0 CDTI,2009,diesel motor,189000,1956,81,ročni menjalnik (6 pr.),5900
13605871,Audi,A6 2.6 E KLIMA VLEčNA NAPRAVA REG. ...,1996,bencinski motor,320000,2598,110,ročni menjalnik (5 pr.),690
13605904,BMW,serija 5: 520d..ODLICEN..1700eur POL...,2012,diesel motor,183244,1995,120,avtomatski menjalnik,16990
13606009,Renault,Laguna Dynamique 2.2 dCi,2003,diesel motor,216000,2188,110,ročni menjalnik (6 pr.),1050
13606044,BMW,serija 3: 318d Automatic M paket - V...,2013,diesel motor,161000,1995,105,avtomatski menjalnik,19950
13606053,Volkswagen,Passat 1.9 TDI Highline-HITRI...,2002,diesel motor,181000,1896,96,ročni menjalnik (6 pr.),2999
13606084,Seat,Cordoba Stella 1.4,2000,bencinski motor,134000,1391,44,ročni menjalnik (5 pr.),750
13606111,Opel,Insignia 2.0 CDTI ecoFlex Edition S...,2015,diesel motor,158000,1956,88,ročni menjalnik (6 pr.),12499
13606163,Mercedes-Benz,E-Razred E 320 CDI Avantga...,2004,diesel motor,,3222,150,avtomatski menjalnik / tiptronic,4800
13606220,BMW,serija 7: 730d Avt.,2003,diesel motor,350000,2993,160,avtomatski menjalnik / tiptronic,5000
13606284,Audi,A8 quattro 3.0 V6 TDI Tiptronic,2005,diesel motor,339000,2967,171,avtomatski menjalnik / tiptronic,6950
13606687,Honda,Accord ,2001,bencinski motor,218000,,136,ročni menjalnik (5 pr.),750
13606689,Mercedes-Benz,E-Razred E 280 Classic,1999,bencinski motor,161000,2799,142,avtomatski menjalnik,890
13606703,BMW,serija 5: 525i Avt.,2000,bencinski motor,298000,2494,141,avtomatski menjalnik / tiptronic,2750
13606713,Opel,Vectra Club 2.0 DTI,2003,diesel motor,362000,1995,74,ročni menjalnik (5 pr.),1800
13606789,BMW,serija 5: 525d,2005,diesel motor,262000,2497,130,ročni menjalnik (6 pr.),5600
13606791,Volvo,S80 D5 Executive°ODLIčEN°1 Last°Sl...,2007,diesel motor,445000,2400,136,avtomatski menjalnik / tiptronic,6500
13606885,Honda,Civic Sedan 1.5i LS VTEC,1997,bencinski motor,282100,1493,84,ročni menjalnik (5 pr.),1200
13606949,Audi,A6 2.5 V6 TDI,2001,diesel motor,380000,2496,110,ročni menjalnik (6 pr.),800
13606992,Seat,Exeo 2.0 TDI CR Style - 170KS,2009,diesel motor,129174,1968,125,ročni menjalnik (6 pr.),8900
13607013,Audi,A6 2.0 TDI.SLOVENSKI. SAMO 131.000 ...,2012,diesel motor,131000,1968,130,avtomatski menjalnik,16700
13607024,Mercedes-Benz,E-Razred E 220 CDI Avantga...,2007,diesel motor,187000,2148,125,avtomatski menjalnik,10000
13607061,Volvo,S60 2.4D Kinetic,2005,diesel motor,397000,2401,92,ročni menjalnik (5 pr.),1700
13607125,Audi,A6 1.9 TDI,2000,diesel motor,370000,1896,81,ročni menjalnik (5 pr.),1500
13607198,Daewoo,Lanos 1.5 Juliet,2000,bencinski motor,,1498,63,ročni menjalnik (5 pr.),180
13607210,Citroen,C5 2.0 HDi FAP Exclusive,2010,diesel motor,259000,1997,103,ročni menjalnik (6 pr.),5600
13607215,Fiat,Punto 1.2 Dynamic,2004,bencinski motor,233508,1242,44,ročni menjalnik (5 pr.),950
13607231,Volkswagen,Passat 1.9 TDI Comfortline Ti...,2002,diesel motor,267000,1896,96,avtomatski menjalnik / tiptronic,2690
13607275,Renault,Megane Classic  1.6 16V,2002,bencinski motor,189317,1598,79,ročni menjalnik (5 pr.),900
13607284,koda,Superb 1.9 TDI PD Elegance,2003,diesel motor,274800,1896,96,ročni menjalnik (5 pr.),2850
13607334,BMW,serija 3: 320d,2005,diesel motor,,1951,100,ročni menjalnik (5 pr.),1800
13607351,Ford,Mondeo 2.0 TDCi .navi.pdc.1-letno j...,2015,diesel motor,161450,1997,110,ročni menjalnik (6 pr.),13499
13607385,Mercedes-Benz,E-Razred E 280 CDI Classic,2006,diesel motor,182600,2987,140,avtomatski menjalnik,7400
13607502,Honda,Civic Sedan 1.5i LS VTEC,1996,bencinski motor,280000,1493,84,ročni menjalnik (5 pr.),500
13607542,Renault,Thalia 1.5 dCi Expression,2004,diesel motor,191800,1461,48,ročni menjalnik (5 pr.),800
13607551,Honda,Accord 2.2i CTDi Executive,2005,diesel motor,,2204,103,ročni menjalnik (5 pr.),3500
13607604,Audi,A4 1.6,2004,bencinski motor,187000,1595,75,ročni menjalnik (5 pr.),3250
13607608,Renault,Clio ,2001,bencinski motor,230000,1395,55,ročni menjalnik (5 pr.),700
13607625,Audi,A4 1.6-SLO-2.LASTNIK-AVT.KLIMA-ALU ...,2003,bencinski motor,190000,1595,75,ročni menjalnik (5 pr.),2950
13607646,Seat,Cordoba 1.8 GLX,1995,bencinski motor,213000,1781,66,ročni menjalnik (5 pr.),650
13607676,Opel,Corsa ,2004,bencinski motor,150000,1199,55,ročni menjalnik (5 pr.),700
13607720,Audi,A8 quattro 3.0 V6 TDI Tiptronic,2005,diesel motor,380000,2967,171,avtomatski menjalnik / tiptronic,5000
13607751,Ford,Focus 1.6 TDCi Futura,2005,diesel motor,130000,1560,80,ročni menjalnik (5 pr.),3200
13607792,Opel,Insignia 2.0 CDTI Cosmo,2010,diesel motor,163000,1956,118,ročni menjalnik (6 pr.),6000
13607800,Alfa Romeo,156 1.8 TS 16V,1999,bencinski motor,136000,1747,106,ročni menjalnik (5 pr.),790
13607805,Citroen,C5 2.0 HDi FAP Exclusive,2010,diesel motor,270000,1997,103,ročni menjalnik (6 pr.),4790
13607858,Opel,Vectra Elegance 2.2i 16V,2002,bencinski motor,200000,2198,108,ročni menjalnik (5 pr.),1000
13607881,Volkswagen,Passat 2.0 TDI BMT Highline,2013,diesel motor,82000,1968,103,ročni menjalnik (6 pr.),13100
13607973,Citroen,Xsara NONFUB,2001,bencinski motor,228289,,80,ročni menjalnik (5 pr.),300
13608033,BMW,serija 3: 320d-LIMUZINA-ODLIčEN-SLOV...,2007,diesel motor,247000,1995,120,ročni menjalnik (6 pr.),5850
13608036,Alfa Romeo,159 2.4 JTDM Distinctive ODLI...,2007,diesel motor,177000,2387,147,ročni menjalnik (6 pr.),4850
13608061,Volkswagen,Passat ,2001,diesel motor,300000,,66,ročni menjalnik (5 pr.),950
13608064,BMW,serija 3: 320d,2005,diesel motor,310884,1995,120,ročni menjalnik (6 pr.),5200
13608084,Mercedes-Benz,E-Razred E 200 CDI Classic,2007,diesel motor,330000,2148,101,ročni menjalnik (6 pr.),7000
13608110,BMW,serija 3: 318i,1999,bencinski motor,285000,1895,87,ročni menjalnik (5 pr.),1400
13608215,Volkswagen,Passat 1.9 TDI Highline,2004,diesel motor,257000,1896,96,ročni menjalnik (6 pr.),3600
13608270,Jaguar,S-Type 3.0 V6 Executive Avt.,2005,bencinski motor,148000,2967,175,avtomatski menjalnik,5550
13608289,BMW,serija 5: 523i,2000,bencinski motor,225000,2494,125,ročni menjalnik (5 pr.),1400
13608336,Volkswagen,Polo Limuzina 1.4,2001,bencinski motor,,1390,44,ročni menjalnik (5 pr.),550
13608353,BMW,serija 5: 520d - BOGATA OPREMA. ODLI...,2012,diesel motor,152000,1995,120,avtomatski menjalnik,17990
13608377,Audi,A6 2.5 V6 TDI XENON BOSE NAVI SOLAR...,1998,diesel motor,331000,2496,110,ročni menjalnik (6 pr.),500
13608404,Audi,A3 ,1999,diesel motor,300000,,81,ročni menjalnik (5 pr.),1000
13608490,Mercedes-Benz,C-Razred C 200 CDI Avantga...,2012,diesel motor,152000,2143,100,ročni menjalnik (6 pr.),13700
13608522,Volvo,S40 Momentum 2.0 D,2005,diesel motor,275000,1998,100,ročni menjalnik (6 pr.),2950
13608554,Audi,A4 1.9 TDI,2003,diesel motor,,1896,74,ročni menjalnik (5 pr.),2750
13608598,Mercedes-Benz,E-Razred E 220 CDI Classic,2002,diesel motor,313000,2148,110,avtomatski menjalnik,3500
13608635,Peugeot,406 2.2 HDi-1 LASTNIK-1 BARVA-OD...,2003,diesel motor,197000,2197,100,ročni menjalnik (5 pr.),2150
13608680,BMW,serija 7: 730d Avt.,2009,diesel motor,205000,2993,180,avtomatski menjalnik / tiptronic,12000
13608712,Renault,R 9 TD,1988,diesel motor,137000,1595,40,ročni menjalnik (5 pr.),600
13608799,Saab,9-5 Arc 2.0 Lpt,2005,bencinski motor,250000,1985,110,ročni menjalnik (5 pr.),650
13608807,BMW,serija 5: 535d Avt.,2006,diesel motor,316000,2993,200,avtomatski menjalnik / tiptronic,7490
13608832,BMW,serija 3: 320d,2006,diesel motor,280000,1995,120,ročni menjalnik (6 pr.),6350
13608841,Volkswagen,Polo Polo  1.6 TDI  Highline,2009,diesel motor,109147,,66,ročni menjalnik (5 pr.),6100
13608969,Citroen,C5 Exclusive 2.0HDI,2006,diesel motor,213000,1997,100,ročni menjalnik (6 pr.),2500
13608983,Audi,A6 quattro 2.5 V6 TDI,2002,diesel motor,330000,2496,132,ročni menjalnik (6 pr.),2200
13609034,Audi,A4 quattro 1.9 TDI,1999,diesel motor,420000,1896,81,ročni menjalnik (5 pr.),1400
13609058,Audi,A6 2.0 TDI Multitronic,2013,diesel motor,121555,1968,130,avtomatski menjalnik,20990
13609156,BMW,serija 3: 323i,2003,bencinski motor,300200,2495,125,ročni menjalnik (5 pr.),1900
13609217,Renault,Clio 1.5 dCi Dynamique ,2003,diesel motor,170000,1461,63,ročni menjalnik (5 pr.),1350
13609225,Renault,Laguna Expression 1.9 dCi,2003,diesel motor,290000,1870,88,ročni menjalnik (6 pr.),560
13609246,Opel,Vectra CD 1.8i 16V,1997,bencinski motor,201314,1799,85,ročni menjalnik (5 pr.),200
13609263,Honda,Accord 2.4i VTEC Executive Plus Av...,2009,bencinski motor,187500,2354,148,avtomatski menjalnik / tiptronic,11999
13609274,Hyundai,Sonata 2.0 CRDi Style odličen-op...,2009,diesel motor,144750,1991,110,avtomatski menjalnik,4700
13609314,BMW,serija 3: 320d Advantage,2005,diesel motor,,1995,120,ročni menjalnik (6 pr.),4600
13609328,BMW,serija 5: 530d,2008,diesel motor,400500,2993,173,avtomatski menjalnik,7200
13609368,BMW,serija 5: 520d,2015,diesel motor,96000,1995,140,ročni menjalnik (6 pr.),22900
13609405,Volkswagen,Golf 5,2005,diesel motor,306243,1896,66,ročni menjalnik (5 pr.),3600
13609428,BMW,serija 5: 530d xDrive Avt. Gran Turi...,2012,diesel motor,205000,2993,190,avtomatski menjalnik / tiptronic,24200
13609455,Opel,Corsa ,2004,bencinski motor,149000,1199,55,ročni menjalnik (5 pr.),790
13609459,Citroen,C5 2.0 HDi FAP Exclusive,2010,diesel motor,157000,1997,103,ročni menjalnik (6 pr.),6990
13609471,Mercedes-Benz,C-Razred C 200 CDI Avantga...,2002,diesel motor,220000,2148,85,ročni menjalnik (6 pr.),3999
13609479,Volkswagen,Passat 1.6 TDI BMT Comfortlin...,2013,diesel motor,74000,1598,77,ročni menjalnik (6 pr.),11900
13609516,BMW,serija 5: 530d,2003,diesel motor,308000,2993,160,avtomatski menjalnik,4800
13609541,Renault,Clio Clio dCi 75 Expression ,2015,diesel motor,116000,1461,55,ročni menjalnik (5 pr.),7600
13609546,Opel,Vectra Comfort 1.6i 16V,1998,bencinski motor,198000,1598,74,ročni menjalnik (5 pr.),700
13609560,Mercedes-Benz,C-Razred C 220 d Avt.,2002,diesel motor,300000,1950,143,ročni menjalnik (6 pr.),2500
13609617,Mercedes-Benz,E-Razred E 280 Elegance,1997,bencinski motor,199860,2799,150,avtomatski menjalnik,2100
13609622,Hyundai,i20 ,2012,bencinski motor,71600,1248,57,ročni menjalnik (5 pr.),6300
13609640,Fiat,Bravo 1.4 16 V Turbo,2008,bencinski motor,111000,1368,88,ročni menjalnik (6 pr.),4500
13609671,BMW,serija 3: 316d,2010,diesel motor,195500,1995,85,ročni menjalnik (6 pr.),8000
13609687,Mercedes-Benz,E-Razred E 350 d AMG Line ...,2016,diesel motor,72500,2987,190,avtomatski menjalnik,49999
13609705,BMW,serija 3: 320d Advantage,2006,diesel motor,181400,1995,120,ročni menjalnik (6 pr.),7399
13609713,Audi,A6 quattro 3.0 V6 TDI Tiptronic,2005,diesel motor,306890,2967,165,avtomatski menjalnik / tiptronic,5990
13609730,Volkswagen,Polo confortline,2011,bencinski motor,75000,,63,ročni menjalnik (5 pr.),6350
13609778,koda,Octavia 1.4 Ambiente 1 LASTNIK 138...,2009,bencinski motor,138000,1390,59,ročni menjalnik (5 pr.),5800
13609815,BMW,serija 3: 318i,2000,bencinski motor,185000,1895,87,ročni menjalnik (5 pr.),2050
13609858,Mercedes-Benz,E-Razred E 200 CDI,2013,diesel motor,280000,2143,100,avtomatski menjalnik,18999
13609871,Peugeot,106 XN,1998,bencinski motor,144000,954,33,ročni menjalnik (5 pr.),300
13609872,Peugeot,307 2.0 hdi UGODNO,2003,diesel motor,293000,1998,68,ročni menjalnik (5 pr.),1290
13609887,Audi,A4 2.0 TDI DPF,2009,diesel motor,197000,1968,105,ročni menjalnik (6 pr.),7990
13609914,Peugeot,407 Premium 2.0 HDi 16V Avt.,2008,diesel motor,279000,1997,100,avtomatski menjalnik / tiptronic,3200
13609947,Renault,Laguna 1.6 16V,2000,bencinski motor,30000,1598,79,ročni menjalnik (5 pr.),300
13609955,Audi,A4 1.9 TDI,2003,diesel motor,348000,1896,96,ročni menjalnik (5 pr.),2850
13609972,Renault,Clio ,2000,bencinski motor,23000,,43,ročni menjalnik (5 pr.),550
13609984,Audi,A4 1.9 TDI,2001,diesel motor,206000,1896,96,ročni menjalnik (5 pr.),3600
13609991,Opel,Astra N-Joy 1.7 DTI,2004,diesel motor,208543,1686,59,ročni menjalnik (5 pr.),1990
13610021,Volvo,S60 2.4D Kinetic,2007,diesel motor,232000,2400,93,ročni menjalnik (5 pr.),3250
13610040,Opel,Astra Classic II 1.6 16V,2006,bencinski motor,183000,1598,76,ročni menjalnik (5 pr.),2000
13610041,Alfa Romeo,159 1.9 JTS Distinctive,2007,bencinski motor,180000,1859,118,ročni menjalnik (6 pr.),3980
13610052,Volvo,S40 D2 Kinetic,2012,diesel motor,165000,1560,84,ročni menjalnik (6 pr.),9450
13610078,Citroen,C5 2.0hdi,2004,diesel motor,222200,1998,85,ročni menjalnik (5 pr.),1300
13610096,Mercedes-Benz,C-Razred C 220 CDI Eleganc...,2001,diesel motor,242800,2148,105,ročni menjalnik (6 pr.),3550
13610097,Volkswagen,Polo 1.2 tdi Trendline ,2011,diesel motor,147000,1199,55,ročni menjalnik (5 pr.),4888
13610139,Fiat,Brava 1.6 16V SX,1999,bencinski motor,167000,1581,76,ročni menjalnik (5 pr.),400
13610162,Renault,Clio 1.4 16V Privilege,2001,bencinski motor,160000,1390,72,ročni menjalnik (5 pr.),1100
13610230,Volkswagen,Golf Trendline 1.6 TDI sloven...,2011,diesel motor,138000,1598,66,ročni menjalnik (5 pr.),8800
13610251,Chevrolet,Kalos ch3,2004,bencinski motor,160000,1399,69,ročni menjalnik (5 pr.),650
13610268,Seat,Cordoba Stella 1.9 SDI,2003,diesel motor,280000,1896,47,ročni menjalnik (5 pr.),1250
13610292,Audi,A4 1.9 TDI Avt.,1996,diesel motor,320000,1896,66,ročni menjalnik (5 pr.),1200
13610404,Volkswagen,Passat 1.9tdi 4 motion,1999,diesel motor,296152,,85,ročni menjalnik (5 pr.),1490
13610407,Fiat,Punto ,2002,bencinski motor,223637,,44,ročni menjalnik (5 pr.),550
13610428,Opel,Insignia 2.0 CDTI EcoFlex Cosmo,2010,diesel motor,137500,1956,96,ročni menjalnik (6 pr.),8700
13610430,Volkswagen,Passat 1.9 TDI KOT NOV,2008,diesel motor,278000,1896,77,ročni menjalnik (5 pr.),7000
13610441,Seat,Mii 1.0 ITECH OPREMA,2015,bencinski motor,74000,999,44,ročni menjalnik (5 pr.),5700
13610442,BMW,serija 3: 318d SPORT-AUT-XENON-PRO N...,2014,diesel motor,169000,1995,105,avtomatski menjalnik,18750
13610506,Opel,Corsa diesel,2007,diesel motor,198000,1248,55,ročni menjalnik (5 pr.),2499
13610540,BMW,serija 3: 320d Advantage,2005,diesel motor,250000,1995,120,avtomatski menjalnik,6000
13610547,BMW,serija 3: 318d. Sport. M optic,2013,diesel motor,150000,1995,100,ročni menjalnik (6 pr.),16800
13610552,Ford,Mondeo 2.2 TDCi Titanium X DPF,2008,diesel motor,311000,2198,129,ročni menjalnik (6 pr.),6400
13610588,Mercedes-Benz,C-Razred C 200 D Elegance,1994,diesel motor,444000,1997,55,ročni menjalnik (5 pr.),750
13610637,Peugeot,508 1.6 e-HDi FAP Access Avt.,2012,diesel motor,226000,1560,82,avtomatski menjalnik / tiptronic,6290
13610650,Opel,Corsa ,2004,diesel motor,230000,1300,51,ročni menjalnik (5 pr.),1350
13610665,BMW,serija 5: 520d High Executive KEYLES...,2011,diesel motor,185750,1995,135,avtomatski menjalnik,16200
13610737,BMW,serija 3: 318d Odličen Kup. v SLO.,2007,diesel motor,216500,1995,90,ročni menjalnik (6 pr.),7990
13610758,BMW,serija 3: 320d,1999,diesel motor,235000,1951,100,ročni menjalnik (5 pr.),1550
13610762,Citroen,Saxo 1.4i SX Klima,1997,bencinski motor,207000,1360,55,ročni menjalnik (5 pr.),350
13610774,Mercedes-Benz,E-Razred E 270 CDI Avantga...,2004,diesel motor,240000,2685,130,ročni menjalnik (6 pr.),2290
13610822,Audi,A6 quattro tiptronic,2005,diesel motor,225000,2967,165,avtomatski menjalnik / tiptronic,8500
13610888,Honda,Civic Sedan 1.4i S,1998,bencinski motor,215000,1396,66,ročni menjalnik (5 pr.),300
13610913,Subaru,Legacy ,1996,bencinski motor,289000,2000,87,ročni menjalnik (5 pr.),750
13610916,BMW,serija 3: 318d Advantage led- alu-pd...,2016,diesel motor,46000,1995,110,avtomatski menjalnik,20999
13610924,Saab,9-5 Aero 2.3 TS,2003,bencinski motor,220000,2290,186,ročni menjalnik (5 pr.),6000
13610993,Ford,Mondeo Ghia 1.8,1999,bencinski motor,205000,1796,85,ročni menjalnik (5 pr.),460
13611004,Renault,Clio ,2001,bencinski motor,160000,,37,ročni menjalnik (5 pr.),210
13611075,Audi,A8 quattro 2.8 D2 EL SEDEI EL ZADN...,1996,bencinski motor,255000,2771,128,ročni menjalnik (5 pr.),350
13611088,Audi,A6 2.5 V6 TDI,2002,diesel motor,,2496,120,avtomatski menjalnik,1600
13611107,Audi,A4 1.9 TDI,2000,diesel motor,330000,1896,85,ročni menjalnik (5 pr.),2500
13611134,Mercedes-Benz,S-Razred S 320 CDI Avt. Od...,2004,diesel motor,258000,3222,150,avtomatski menjalnik / tiptronic,8990
13611169,Lancia,Kappa 2.4 LE TDI KLIMATRONIK,1996,diesel motor,258000,2387,91,ročni menjalnik (5 pr.),190
13611203,Chevrolet,Aveo 1.4 16V Premium,2008,bencinski motor,65000,1399,69,ročni menjalnik (5 pr.),3400
13611243,Volkswagen,Golf Comfortline 2.0 TDI,2005,diesel motor,231000,1968,103,ročni menjalnik (6 pr.),3890
13611304,Audi,A3 1.9 tdi  sportback,2006,diesel motor,234000,,77,ročni menjalnik (5 pr.),4500
13611318,Lancia,Thema 3.0 CRD Executive,2011,diesel motor,34750,2987,176,avtomatski menjalnik,25990
13611359,BMW,serija 3: 320i,2006,bencinski motor,200000,1995,110,ročni menjalnik (6 pr.),5350
13611364,Audi,A6 2.5 TDI KLIMA 85KW 5 PRESTAV ,1995,diesel motor,366000,2461,85,ročni menjalnik (5 pr.),380
13611421,Daewoo,Nubira ,1998,bencinski motor,1900,,88,ročni menjalnik (5 pr.),150
13611451,Volkswagen,Passat Tdi ,1996,diesel motor,410000,1990,110,ročni menjalnik (5 pr.),550
13611473,Volkswagen,Golf ,2013,diesel motor,166000,1589,77,ročni menjalnik (5 pr.),7700
13611494,Volkswagen,Lupo 1.4,2001,bencinski motor,180000,1390,44,ročni menjalnik (5 pr.),650
13611534,BMW,serija 5: 530d ODLIčEN-USNJE-BI-XENO...,2005,diesel motor,199000,2993,160,ročni menjalnik (6 pr.),8500
13611550,Audi,A4 2.0 TDI DPF.odličen.navi.velika....,2009,diesel motor,269000,1968,105,ročni menjalnik (6 pr.),8650
13611563,Seat,Ibiza 1.4 16V KLIMA 5 VRAT,2007,bencinski motor,212000,1390,63,ročni menjalnik (5 pr.),2499
13611611,Peugeot,407 ST 1.6 HDi 16V-ODLIčEN-AVT.K...,2004,diesel motor,212114,1560,80,ročni menjalnik (5 pr.),2690
13611648,Mercedes-Benz,E-Razred E BlueEFFICIENCY ...,2010,diesel motor,241000,2143,100,avtomatski menjalnik,12570
13611702,Renault,Megane Classic Air 1.6 16V,2002,bencinski motor,290000,1598,79,ročni menjalnik (5 pr.),550
13611715,Renault,Megane Air 1.6 16V,2001,bencinski motor,168000,1598,79,ročni menjalnik (5 pr.),600
13611726,BMW,serija 5: 520i,2003,bencinski motor,212600,2171,125,ročni menjalnik (6 pr.),4650
13611753,Audi,A3 Limuzina 2.0 TDI clean diesel Am...,2015,diesel motor,145703,1968,110,ročni menjalnik (6 pr.),16390
13611761,Volvo,S80 D5 Executive Avt.,2004,diesel motor,280000,2401,120,avtomatski menjalnik,3000
13611768,Kia,Rio 1.4i EX Active.tehnicni do nasle...,2007,bencinski motor,167000,1399,71,ročni menjalnik (5 pr.),2000
13611812,Mercedes-Benz,E-Razred E 320 CDI Eleganc...,2003,diesel motor,315000,3222,150,avtomatski menjalnik / tiptronic,4800
13611855,Mercedes-Benz,W123 ,1981,diesel motor,342000,,59,ročni menjalnik (5 pr.),3300
13611905,Mercedes-Benz,E-Razred E 220 d AMG Line ...,2016,diesel motor,47500,1950,143,avtomatski menjalnik,47900
13611920,Honda,Civic ,1997,bencinski motor,225000,1590,83,ročni menjalnik (5 pr.),650
13611938,Chevrolet,Cruze 1.8 16V LT,2010,bencinski motor,112000,1796,104,ročni menjalnik (5 pr.),4400
13611959,Daewoo,Lanos 1.5,2000,bencinski motor,171327,1498,63,ročni menjalnik (5 pr.),350
13611965,Peugeot,407 SR Confort 1.6 HDi 16V,2006,diesel motor,136000,1560,80,ročni menjalnik (5 pr.),3000
13612042,Audi,A6 2.0 TDI ultra S tronic S-line MA...,2015,diesel motor,149956,1968,140,avtomatski menjalnik,27790
13612081,Audi,A3 LAKLF1 FM52KO28R92L,1998,bencinski motor,240000,,74,ročni menjalnik (5 pr.),650
13612135,BMW,serija 3: 320d Facelift Perla Naviga...,2015,diesel motor,79900,1995,140,ročni menjalnik (6 pr.),19980
13612137,Audi,A6 2.0 TDI Business Multitronic,2013,diesel motor,252048,1968,130,avtomatski menjalnik,15770
13612216,Mercedes-Benz,E-Razred E BlueEFFICIENCY ...,2009,diesel motor,115000,2143,150,avtomatski menjalnik / tiptronic,14990
13612265,BMW,serija 3: 320d ALU-GRETJE SEDEEV-KO...,2015,diesel motor,60144,1995,135,ročni menjalnik (6 pr.),17580
13612273,Chevrolet,Cruze 1.6 LS Plus,2013,bencinski motor,87918,1598,91,ročni menjalnik (5 pr.),5999
13612277,BMW,serija 3: 316 i compact,1998,bencinski motor,250000,1596,75,ročni menjalnik (5 pr.),990
13612313,Honda,Accord 2.0i VTEC Comfort,2004,bencinski motor,290000,1998,114,ročni menjalnik (5 pr.),2400
13612328,Mazda,6 G145 Challenge SLO 1.LASTNI...,2013,bencinski motor,84000,1998,107,ročni menjalnik (6 pr.),14390
13612363,Mercedes-Benz,E-Razred E 250 Avt.,2011,bencinski motor,118000,1991,155,avtomatski menjalnik,19000
13612397,Opel,Insignia 2.0 CDTI SLOVENSKA-ODLIčNA...,2009,diesel motor,179848,1956,96,ročni menjalnik (6 pr.),5990
13612497,Volkswagen,Passat 2.0 TDI BMT Connect DS...,2018,diesel motor,18264,1968,110,avtomatski menjalnik,25960
13612514,Volkswagen,Passat 1.8 Turbo Highline,2000,bencinski motor,252737,1781,110,ročni menjalnik (5 pr.),1300
13612517,BMW,serija 3: 320d xDrive M-optik Tiptro...,2013,diesel motor,95500,1995,135,avtomatski menjalnik / tiptronic,24990
13612539,Audi,A4 1.9 TDI,2002,diesel motor,239000,1896,96,ročni menjalnik (5 pr.),3800
13612595,Audi,A6 1.8 T,1997,bencinski motor,254400,1781,110,ročni menjalnik (5 pr.),1200
13612607,Hyundai,Sonata 2.0 MONO ZA DELE,2003,bencinski motor,,1997,97,ročni menjalnik (5 pr.),300
13612627,Volvo,S80 D5,2002,diesel motor,230000,2401,120,ročni menjalnik (5 pr.),2450
13612629,Mitsubishi,Carisma 1.9 DID,2002,diesel motor,346000,1870,75,ročni menjalnik (5 pr.),1800
13612639,BMW,serija 5: 520d - NOV MOTOR ,2010,diesel motor,206000,1995,135,ročni menjalnik (6 pr.),16500
13612643,Audi,A4 2.0 TDI DPF e,2011,diesel motor,190000,1968,100,ročni menjalnik (6 pr.),11750
13612687,BMW,serija 3: 320d M tech 1,2000,diesel motor,348000,1951,100,ročni menjalnik (5 pr.),2950
13612710,Chevrolet,Cruze 1.6 16V LS,2009,bencinski motor,150774,1598,83,ročni menjalnik (5 pr.),3500
13612777,Peugeot,301 1.6 HDi Allure,2013,diesel motor,119556,1560,68,ročni menjalnik (5 pr.),5999
13612798,Peugeot,508 2.2 HDi FAP GT AUT+XENON+NAV...,2012,diesel motor,145877,2179,150,avtomatski menjalnik / tiptronic,9990
13612853,Renault,Megane Sedan 1.5 dCi Dynamique P...,2007,diesel motor,250000,1461,78,ročni menjalnik (6 pr.),850
13612879,Opel,Astra Classic II 1.4 16V -1.LASTNIK...,2005,bencinski motor,180000,1389,66,ročni menjalnik (5 pr.),1999
13612912,BMW,serija 5: 520d,2007,diesel motor,194700,1995,120,ročni menjalnik (6 pr.),8850
13612943,Opel,Corsa ,2005,bencinski motor,139878,1364,66,ročni menjalnik (5 pr.),1850
13612962,Audi,A4 1.9 TDI,2003,diesel motor,575000,1896,96,ročni menjalnik (6 pr.),1550
13612969,Audi,A4 quattro 2.0 TDI clean diesel Sty...,2015,diesel motor,150000,1968,110,ročni menjalnik (6 pr.),16500
13613024,Seat,Cordoba Fresc 1.4 16V,2008,bencinski motor,150000,1390,63,ročni menjalnik (5 pr.),2750
