id,Znamka,Model,Letnik,Tip motorja,Prevoženi kilometri,ccm,kW,Menjalnik,Cena
13598816,BMW,serija 7: 730d xDrive Avt.,2016,diesel motor,81000,2993,195,avtomatski menjalnik / tiptronic,59900
13598825,BMW,serija 7: 730d Avt.,2011,diesel motor,206000,2993,180,avtomatski menjalnik / tiptronic,23500
13598826,Peugeot,407 1.6 16V,2005,diesel motor,,1560,80,ročni menjalnik (5 pr.),2000
13598849,BMW,serija 5: 523i,1999,bencinski motor,281000,2494,125,avtomatski menjalnik,950
13598853,Opel,Astra Astra 1.4 16V TURBO,2011,bencinski motor,120000,1364,103,ročni menjalnik (6 pr.),6200
13598862,Citroen,C5 ,2003,diesel motor,270000,2179,98,ročni menjalnik (5 pr.),1390
13598916,Mercedes-Benz,C-Razred C63s AMG Limousin...,2015,bencinski motor,71800,,375,avtomatski menjalnik,69900
13598919,Opel,Insignia 2.0 CDTI Cosmo,2013,diesel motor,141000,1956,96,ročni menjalnik (6 pr.),9490
13598968,BMW,serija 3: 320d,2007,diesel motor,212000,1995,120,ročni menjalnik (6 pr.),6600
13599014,Mazda,6 CD150 Revolution GT,2013,diesel motor,107000,2191,110,ročni menjalnik (6 pr.),13990
13599018,Volkswagen,Jetta 1.9 TDI Comfortline-PDC...,2008,diesel motor,321000,1896,77,ročni menjalnik (5 pr.),4990
13599032,Audi,A6 2.4 V6 Tiptronic,1997,bencinski motor,315000,2393,121,avtomatski menjalnik / tiptronic,800
13599047,Audi,A4 1.6,1996,bencinski motor,234000,1595,74,ročni menjalnik (5 pr.),870
13599050,Mercedes-Benz,C-Razred C 280 4matic Avt....,2006,bencinski motor,98000,2996,170,avtomatski menjalnik / tiptronic,7690
13599076,Mercedes-Benz,E-Razred E 350 BlueTEC Ele...,2010,diesel motor,200000,2987,155,avtomatski menjalnik / tiptronic,15490
13599077,Volkswagen,Passat 4motion 3.2 FSI Highli...,2007,bencinski motor,187738,3189,184,avtomatski menjalnik,6990
13599080,BMW,serija 3: 318d+NAVI+ALU+PDC+NAKUP BR...,2009,diesel motor,248000,1995,105,ročni menjalnik (6 pr.),7480
13599118,Audi,A4 2.0 TDI clean diesel Multitronic...,2014,diesel motor,156000,1968,110,avtomatski menjalnik,17490
13599146,Peugeot,607 Ebene 2.2 HDi,2002,diesel motor,290000,2179,98,ročni menjalnik (5 pr.),690
13599147,BMW,serija 5: 530d xDrive Avt.Kamera.Sof...,2011,diesel motor,280000,2993,190,avtomatski menjalnik / tiptronic,17990
13599184,Mercedes-Benz,E-Razred ,1993,diesel motor,354000,1995,55,ročni menjalnik (5 pr.),890
13599238,Saab,9-5 Linear 1.9 TIDSPF,2007,diesel motor,260000,1910,110,ročni menjalnik (5 pr.),3100
13599280,Mercedes-Benz,C-Razred C 180 Classic,1998,bencinski motor,360000,1799,90,ročni menjalnik (5 pr.),1300
13599305,Alfa Romeo,159 1.9 JTDM Distinctive,2007,diesel motor,282000,1910,110,ročni menjalnik (6 pr.),4600
13599339,BMW,serija 3: 316i,1999,bencinski motor,280000,1895,77,ročni menjalnik (5 pr.),650
13599350,BMW,serija 5: 535i,1997,bencinski motor,270000,3498,173,ročni menjalnik (5 pr.),1300
13599354,Opel,Kadett ,1975,bencinski motor,55000,993,29,ročni menjalnik (4 pr.),2500
13599360,Dacia,Logan 1.4,2007,bencinski motor,105500,1390,55,ročni menjalnik (5 pr.),1999
13599393,Citroen,C5 2.0 HDi FAP Exclusive Avt.SLO...,2009,diesel motor,120000,1997,100,avtomatski menjalnik / tiptronic,8200
13599414,BMW,serija 3: 318d,2011,diesel motor,105000,1995,103,ročni menjalnik (6 pr.),13500
13599425,Mercedes-Benz,E-Razred E BlueEFFICIENCY ...,2011,diesel motor,240200,2143,150,ročni menjalnik (6 pr.),13100
13599465,Audi,A4 2.0 TDI DPF XENON,2008,diesel motor,218000,1968,105,ročni menjalnik (6 pr.),8690
13599495,BMW,serija 3: 318i,2005,bencinski motor,220000,1995,95,ročni menjalnik (5 pr.),3500
13599664,Audi,A6 2.4 V6,2000,bencinski motor,297000,2393,121,ročni menjalnik (5 pr.),950
13599690,Mazda,3 G120 Revolution Avt.,2016,bencinski motor,50000,1998,88,avtomatski menjalnik / tiptronic,17100
13599692,BMW,serija 3: 318i,2007,bencinski motor,252000,1995,95,ročni menjalnik (6 pr.),6000
13599702,Audi,A6 quattro 3.0 V6 TDI Tiptronic,2004,diesel motor,388000,2967,165,avtomatski menjalnik / tiptronic,4000
13599734,BMW,serija 3: 316d-navi. xenon.bluetoot,2010,diesel motor,250000,1995,85,ročni menjalnik (6 pr.),8600
13599778,Audi,A4 1.9 TDI,2003,diesel motor,380000,1896,96,ročni menjalnik (5 pr.),2800
13599791,Volkswagen,CC Passat,2010,diesel motor,171000,1968,103,ročni menjalnik (6 pr.),11500
13599909,Kia,Spectra ,2001,bencinski motor,190000,1594,75,ročni menjalnik (5 pr.),300
13599911,Volvo,S60 2.4D Momentum,2005,diesel motor,198321,2401,96,ročni menjalnik (5 pr.),4300
13599935,Audi,A8 quattro 3.0 V6 TDI Odlicen Kredi...,2005,diesel motor,340000,2967,171,avtomatski menjalnik / tiptronic,6650
13599936,Ford,Mondeo 2.0 TDCi Titanium DPF,2008,diesel motor,180613,1997,103,ročni menjalnik (6 pr.),5800
13600123,Alfa Romeo,159 2.0 JTDM Eco Distinctive,2010,diesel motor,179500,1956,125,ročni menjalnik (6 pr.),5990
13600157,BMW,serija 5: 525d,2001,diesel motor,310000,2497,120,ročni menjalnik (5 pr.),2900
13600200,Alfa Romeo,166 2.4 JTD M-Jet Progression,2005,diesel motor,335000,2387,129,ročni menjalnik (6 pr.),1590
13600309,BMW,serija 5: 525d Avt.,2005,diesel motor,290000,2499,130,avtomatski menjalnik / tiptronic,6000
13600338,Honda,Accord 2.0i VTEC Comfort,2004,bencinski motor + plin,355000,1998,114,ročni menjalnik (5 pr.),3500
13600366,Nissan,Almera 1.5 16V Visia,2004,bencinski motor,236738,1497,72,ročni menjalnik (5 pr.),500
13600642,Honda,Civic Grand 1.5T Elegance Navi CVT,2018,bencinski motor,5000,1498,134,avtomatski menjalnik,22290
13600650,Renault,Megane Sedan 1.6 16V 1.lastnik s...,2005,bencinski motor,920000,1598,83,ročni menjalnik (5 pr.),2390
13600708,Volkswagen,Passat 1.9 TDI-ugodno,1999,diesel motor,300000,1896,81,ročni menjalnik (5 pr.),999
13600767,Chevrolet,Cruze 2.0 VCDi LS,2010,diesel motor,171558,1991,92,ročni menjalnik (5 pr.),4999
13600839,Volkswagen,Passat 1.9-SLOVENSKO VOZILO-H...,2003,diesel motor,402211,1896,96,ročni menjalnik (6 pr.),2290
13600888,Daewoo,Kalos SH1-211,2002,bencinski motor,169925,1399,61,ročni menjalnik (5 pr.),650
13600945,Seat,Cordoba 1.4 SE,1997,bencinski motor,134162,1390,44,ročni menjalnik (5 pr.),480
13600952,Seat,Toledo 1.9 TDI Signo 1.lastnik,2001,diesel motor,290000,1896,66,ročni menjalnik (5 pr.),2100
13600957,Audi,S8 quattro 5.2 Tiptronic,2007,bencinski motor,170000,5204,331,avtomatski menjalnik / tiptronic,14750
13601028,Rover,serija 400: 416 Si,1998,bencinski motor,108000,1589,82,ročni menjalnik (5 pr.),70
13601029,BMW,serija 5: 520d EfficientDynamics Edi...,2012,diesel motor,198000,1995,135,avtomatski menjalnik,17990
13601098,Volkswagen,Hroč 1200j,1972,bencinski motor,55000,1200,40,ročni menjalnik (4 pr.),1000
13601283,Opel,Astra Team,1996,bencinski motor,128000,1389,40,ročni menjalnik (5 pr.),500
13601289,Audi,A8 quattro 3.0 TDI+ACC+BOSE+ZR.VZME...,2014,diesel motor,117000,2967,190,avtomatski menjalnik / tiptronic,46990
13601357,Mercedes-Benz,E-Razred E 280 Avantgarde,2005,bencinski motor,213692,2996,170,ročni menjalnik (6 pr.),7490
13601366,Citroen,C3 NFU,2003,bencinski motor,213000,1587,80,ročni menjalnik (5 pr.),1200
13601428,BMW,serija 5: ,2005,bencinski motor,285000,2170,125,ročni menjalnik (6 pr.),5000
13601448,Mercedes-Benz,E-Razred E220d Avt. AMGMU...,2017,diesel motor,74000,1950,143,avtomatski menjalnik,41990
13601648,BMW,serija 7: 740i V8 Prins LPG,2006,bencinski motor,285000,4000,225,avtomatski menjalnik / tiptronic,9500
13601664,BMW,serija 5: 523i,1997,bencinski motor,236800,2494,125,ročni menjalnik (5 pr.),2500
13601699,Seat,Toledo 1.9 TDI Signo,1999,diesel motor,318614,1896,81,ročni menjalnik (5 pr.),999
13601723,Mercedes-Benz,190 D,1988,diesel motor,402340,1997,53,ročni menjalnik (4 pr.),2200
13601725,koda,S 120 120l,1986,bencinski motor,44000,,25,ročni menjalnik (4 pr.),990
13601806,BMW,serija 7: 750iA xDrive M-Sportpaket...,2009,bencinski motor,165000,4395,300,avtomatski menjalnik / tiptronic,26990
13601813,Renault,Thalia 1.5 dCi Authentique.ODLIč...,2006,diesel motor,111524,1461,50,ročni menjalnik (5 pr.),2990
13601886,Audi,A4 1.9 TDI S-LINE,2006,diesel motor,183000,1896,85,ročni menjalnik (5 pr.),6500
13601979,Alfa Romeo,166 2.4 JTD,2002,diesel motor,234440,2387,110,ročni menjalnik (6 pr.),1200
13601987,Mazda,6 CD175 Revolution Top črno u...,2016,diesel motor,44515,2191,129,avtomatski menjalnik / tiptronic,21900
13601990,Citroen,C5 2.2 HDi Exclusive Maximalna o...,2008,diesel motor,245000,2200,149,ročni menjalnik (6 pr.),5500
13602006,Audi,A6 2.4 V6,2000,bencinski motor,,2393,121,ročni menjalnik (5 pr.),350
13602013,Renault,Thalia ,2004,bencinski motor,91000,1390,55,ročni menjalnik (5 pr.),800
13602048,Opel,Vectra 1.8 16V - LEPO OHRANJENO ,2003,bencinski motor,254000,1796,90,ročni menjalnik (5 pr.),1285
13602086,Opel,Astra 1.4 16V Comfort,2002,bencinski motor,200000,1389,66,ročni menjalnik (5 pr.),1350
13602089,Audi,A6 3.0 TDI quattro Business S-troni...,2011,diesel motor,221451,2967,180,avtomatski menjalnik,17480
13602090,BMW,serija 3: 316i M40,1990,bencinski motor,202000,1596,73,ročni menjalnik (5 pr.),1900
13602124,Ford,Focus 1.6 Ti-VCT Trend,2006,bencinski motor,172000,1596,85,ročni menjalnik (5 pr.),2600
13602169,Ford,Mondeo 2.0 TDCi Ghia,2005,diesel motor,279885,1998,96,ročni menjalnik (6 pr.),950
13602211,Volvo,S60 D5 odličen,2003,diesel motor,293000,2401,120,ročni menjalnik (5 pr.),3100
13602285,Volkswagen,Jetta 1.6 TDI Comfortline,2012,diesel motor,123000,1598,77,ročni menjalnik (5 pr.),10000
13602366,Mercedes-Benz,C-Razred C 200 CDI Classic...,2004,diesel motor,320000,2148,90,ročni menjalnik (6 pr.),2450
13602406,Opel,Insignia 2.0 CDTI,2011,diesel motor,191000,1956,96,ročni menjalnik (6 pr.),7100
13602450,BMW,serija 3: 316d LED navigacija port ...,2016,diesel motor,123105,1995,85,ročni menjalnik (6 pr.),19799
13602503,Audi,80 1.6,1987,bencinski motor,211000,1595,51,ročni menjalnik (5 pr.),2800
13602511,Audi,A6 1.8 T,1997,bencinski motor,367232,1781,110,ročni menjalnik (5 pr.),1500
13602522,Alfa Romeo,159 2.2 JTS Distinctive,2006,bencinski motor,152000,2198,136,ročni menjalnik (6 pr.),3640
